link,generation ,engine,start_of_production,powertrain_architecture,body_type,seats,doors,fuel_type,acceleration_0-100km/h,acceleration_0-62mph,maximum_speed,weight-to-power_ratio,weight-to-torque_ratio,power,power_per_litre,torque,engine_layout,engine_displacement,number_of_cylinders,engine_configuration,cylinder_bore,piston_stroke,number_of_valves_per_cylinder,fuel_injection_system,engine_aspiration,kerb_weight,max_weight,max_load,fuel_tank_capacity,length,width,height,wheelbase,minimum_turning_diameter,drivetrain_architecture,drive_wheel,number_of_gears_and_type_of_gearbox,front_suspension,rear_suspension,front_brakes,rear_brakes,assisting_systems,steering_type,power_steering,tires_size,wheel_rims_size,fuel_consumption_urban,fuel_consumption_extra_urban,fuel_consumption_combined,co2_emissions,emission_standard,engine_code,compression_ratio,engine_oil_capacity,front_track,rear_track,drag_coefficient,acceleration_0-60mph,end_of_production,coolant
https://www.auto-data.net/en/porsche-911-targa-991-ii-4-3.0-370hp-pdk-22589,911 Targa (991 II),4 3.0 (370 Hp) PDK ,2015,Internal Combustion engine ,Targa ,4 ,2,Petrol (Gasoline) ,4.5,4.5,287.0,"4.3 kg/Hp, 232.7 Hp/tonne ","3.5 kg/Nm, 283 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981.0,6.0,Boxer ,91.0,76.4,4.0,Direct injection ,"BiTurbo, Intercooler ",1590,2015.0,425,68.0,4499.0,1852,1288,2450.0,,,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,,235/40 ZR 19; 295/35 ZR 19 ,8.5J x 19; 11.5J x 19 ,10.3,6.5,7.9,182.0,Euro 6 ,"MA2.01, MA2.02 ",10.0,8.0,1541,1558,0.3,4.3,2018.0,
https://www.auto-data.net/en/porsche-911-targa-991-ii-4-3.0-370hp-22587,911 Targa (991 II),4 3.0 (370 Hp) ,2015,Internal Combustion engine ,Targa ,4 ,2,Petrol (Gasoline) ,4.7,4.7,289.0,"4.2 kg/Hp, 235.7 Hp/tonne ","3.5 kg/Nm, 286.6 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981.0,6.0,Boxer ,91.0,76.4,4.0,Direct injection ,"BiTurbo, Intercooler ",1570,2000.0,430,68.0,4499.0,1852,1288,2450.0,,,All wheel drive (4x4) ,"7 gears, manual transmission ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,,235/40 ZR 19; 295/35 ZR 19 ,8.5J x 19; 11.5J x 19 ,12.4,6.9,8.9,206.0,Euro 6 ,"MA2.01, MA2.02 ",10.0,8.0,1541,1558,0.3,4.5,2018.0,
https://www.auto-data.net/en/porsche-911-991-ii-turbo-s-exclusive-3.8-607hp-pdk-30479,911 (991 II),Turbo S Exclusive 3.8 (607 Hp) PDK ,2017,Internal Combustion engine ,Coupe ,4 ,2,Petrol (Gasoline) ,2.9,2.9,330.0,"2.6 kg/Hp, 379.4 Hp/tonne ","2.1 kg/Nm, 468.8 Nm/tonne ",607 Hp @ 6750 rpm. ,159.7,750 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800.0,6.0,Boxer ,102.0,77.5,4.0,Direct injection ,"Twin-Turbo, Intercooler ",1600,1990.0,390,68.0,4507.0,1880,1297,2450.0,10.6,,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,245/35 ZR 20; 305/30 ZR 20 ,9J x 20; 11.5J x 20 ,11.8,7.5,9.1,212.0,Euro 6 ,MDB.CB ,9.8,7.5,1541,1590,0.31,2.8,2017.0,
https://www.auto-data.net/en/porsche-911-991-ii-turbo-s-3.8-580hp-pdk-22599,911 (991 II),Turbo S 3.8 (580 Hp) PDK ,2015,Internal Combustion engine ,Coupe ,4 ,2,Petrol (Gasoline) ,2.9,2.9,330.0,"2.8 kg/Hp, 362.5 Hp/tonne ","2.1 kg/Nm, 468.8 Nm/tonne ",580 Hp @ 6750 rpm. ,152.6,750 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800.0,6.0,Boxer ,102.0,77.5,4.0,Direct injection ,"BiTurbo, Intercooler ",1600,1990.0,390,68.0,4507.0,1880,1297,2450.0,,,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,,245/35 ZR 20; 305/30 ZR 20 ,9J x 20; 11.5J x 20 ,11.8,7.5,9.1,212.0,Euro 6 ,MDA.CA ,9.8,7.5,1541,1590,0.31,2.8,2018.0,
https://www.auto-data.net/en/porsche-911-991-ii-turbo-3.8-540hp-pdk-22598,911 (991 II),Turbo 3.8 (540 Hp) PDK ,2015,Internal Combustion engine ,Coupe ,4 ,2,Petrol (Gasoline) ,3,3,320.0,"3 kg/Hp, 338.6 Hp/tonne ","2.2 kg/Nm, 445.1 Nm/tonne ",540 Hp @ 6400 rpm. ,142.1,710 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800.0,6.0,Boxer ,102.0,77.5,4.0,Direct injection ,"BiTurbo, Intercooler ",1595,2010.0,415,68.0,4507.0,1880,1297,2450.0,,,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,,245/35 ZR 20; 305/30 ZR 20 ,9J x 20; 11.5J x 20 ,11.8,7.5,9.1,212.0,Euro 6 ,MDA.BA ,9.8,7.5,1541,1590,0.31,2.9,2018.0,
https://www.auto-data.net/en/porsche-911-991-ii-gt3-rs-4.0-520hp-pdk-32740,911 (991 II),GT3 RS 4.0 (520 Hp) PDK ,2018,Internal Combustion engine ,Coupe ,2 ,2,Petrol (Gasoline) ,3.2,3.2,312.0,"2.8 kg/Hp, 363.6 Hp/tonne ","3 kg/Nm, 328.7 Nm/tonne ",520 Hp @ 8250 rpm. ,130.1,470 Nm @ 6000 rpm.,"Front, Longitudinal ",3996.0,6.0,Boxer ,,,,,Naturally aspirated engine ,1430,1793.0,363,64.0,4557.0,1880,1297,2453.0,11.1,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission PDK ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,265/35 ZR 20; 325/30 ZR 21 ,9.5J x 20; 12.5J x 21 ,19.2,9,12.8,291.0,,MA1.76 ,13.3,7.5,1588,1557,,3.0,2019.0,28 l
https://www.auto-data.net/en/porsche-911-991-ii-gt3-4.0-500hp-pdk-29522,911 (991 II),GT3 4.0 (500 Hp) PDK ,2017,Internal Combustion engine ,Coupe ,2 ,2,Petrol (Gasoline) ,3.4,3.4,318.0,"2.9 kg/Hp, 349.7 Hp/tonne ","3.1 kg/Nm, 321.7 Nm/tonne ",500 Hp @ 8250 rpm. ,125.1,460 Nm @ 6000 rpm.,"Rear, Longitudinal ",3996.0,6.0,Boxer ,102.0,81.5,4.0,Direct injection ,Naturally aspirated engine ,1430,1777.0,347,64.0,4562.0,1852,1271,2457.0,11.1,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission PDK ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,,245/35 ZR20; 305/30 ZR20 ,9J x 20; 12J x 20 ,19.4,8.8,12.7,288.0,Euro 6 ,MDG.GA ,13.3,6.8,1551,1555,0.33,3.2,2018.0,28 l
https://www.auto-data.net/en/porsche-911-991-ii-gt3-4.0-500hp-29495,911 (991 II),GT3 4.0 (500 Hp) ,2017,Internal Combustion engine ,Coupe ,2 ,2,Petrol (Gasoline) ,3.9,3.9,320.0,"2.8 kg/Hp, 353.9 Hp/tonne ","3.1 kg/Nm, 325.5 Nm/tonne ",500 Hp @ 8250 rpm. ,125.1,460 Nm @ 6000 rpm.,"Rear, Longitudinal ",3996.0,6.0,Boxer ,102.0,81.5,4.0,Direct injection ,Naturally aspirated engine ,1413,1760.0,347,64.0,4562.0,1852,1271,2457.0,11.1,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"6 gears, manual transmission ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,,245/35 ZR20; 305/30 ZR20 ,9J x 20; 12J x 20 ,19.7,8.8,12.9,290.0,Euro 6 ,MDG.GA ,13.3,6.8,1551,1555,0.33,3.7,2018.0,28 l
https://www.auto-data.net/en/porsche-911-991-ii-gt2-rs-3.8-700hp-pdk-30466,911 (991 II),GT2 RS 3.8 (700 Hp) PDK ,2017,Internal Combustion engine ,Coupe ,2 ,2,Petrol (Gasoline) ,2.8,2.8,340.0,"2.1 kg/Hp, 476.2 Hp/tonne ","2 kg/Nm, 510.2 Nm/tonne ",700 Hp @ 7000 rpm. ,184.2,750 Nm @ 2500-4500 rpm.,"Rear, Longitudinal ",3800.0,6.0,Boxer ,102.0,77.5,4.0,Direct injection ,"BiTurbo, Intercooler ",1470,1830.0,360,64.0,4549.0,1880,1297,2453.0,11.1,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission PDK ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Disc ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,265/35 ZR 20; 325/30 ZR 21 ,9.5J x 20; 12.5J x 21 ,18.1,8.2,11.8,269.0,Euro 6 ,MDH.NA ,9.0,7.95,1588,1557,0.35,2.7,2019.0,
https://www.auto-data.net/en/porsche-911-991-ii-carrera-gts-3.0-450hp-pdk-29911,911 (991 II),Carrera GTS 3.0 (450 Hp) PDK ,2017,Internal Combustion engine ,Coupe ,4 ,2,Petrol (Gasoline) ,3.7,3.7,310.0,"3.3 kg/Hp, 306.1 Hp/tonne ","2.7 kg/Nm, 374.1 Nm/tonne ",450 Hp @ 6500 rpm. ,151.0,550 Nm @ 2150−5000 rpm.,"Rear, Longitudinal ",2981.0,6.0,Boxer ,91.0,76.4,4.0,Direct injection ,"BiTurbo, Intercooler ",1470,1935.0,465,64.0,4528.0,1852,1284,2450.0,11.1,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission PDK ",Independent type McPherson ,Independent multi-link suspension ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,245/35 ZR 20; 305/30 ZR 20 ,9J x 20; 12J x 20 ,10.7,6.9,8.3,188.0,Euro 6 ,MDC.JA ,10.0,8.0,1541,1544,0.31,3.5,2018.0,28.3 l
